168.234.75.2, 2017-03-11 19:43:55, GET, /cpfecys/static/images/academic_control/send4.png, HTTP/1.1, 200, 0.000648
168.234.75.2, 2017-03-11 19:43:55, GET, /cpfecys/static/images/academic_control/ascending24.png, HTTP/1.1, 200, 0.000655
168.234.75.2, 2017-03-11 19:43:55, GET, /cpfecys/static/images/academic_control/business175.png, HTTP/1.1, 200, 0.000672
168.234.75.2, 2017-03-11 19:43:55, GET, /cpfecys/static/images/academic_control/users6.png, HTTP/1.1, 200, 0.000731
168.234.75.2, 2017-03-11 19:43:55, GET, /cpfecys/static/images/academic_control/research.png, HTTP/1.1, 200, 0.000657
168.234.75.2, 2017-03-11 19:43:55, GET, /cpfecys/static/images/academic_control/verification5.png, HTTP/1.1, 200, 0.000636
168.234.75.2, 2017-03-11 19:43:55, GET, /cpfecys/static/images/academic_control/time3.png, HTTP/1.1, 200, 0.000645
168.234.75.2, 2017-03-11 19:43:55, GET, /cpfecys/static/images/academic_control/file96.png, HTTP/1.1, 200, 0.000646
168.234.75.2, 2017-03-11 19:43:55, GET, /cpfecys/static/images/academic_control/envelope33.png, HTTP/1.1, 200, 0.000506
168.234.75.2, 2017-03-11 19:43:55, GET, /cpfecys/static/images/academic_control/teacher35.png, HTTP/1.1, 200, 0.000905
168.234.75.2, 2017-03-11 19:43:56, GET, /cpfecys/admin/GetPeriodosSemestre, HTTP/1.1, 200, 1.005254
168.234.75.2, 2017-03-11 19:43:58, GET, /cpfecys/admin/GetPeriodosVariables, HTTP/1.1, 200, 1.161767
168.234.75.2, 2017-03-11 20:04:46, GET, /, HTTP/1.1, 200, 1.149431
168.234.75.2, 2017-03-11 20:04:47, GET, /default/download/front_notification.image_file.b59e4dd5d9f8a04f.526576697374614469676974616c45637973323031362e6a7067.jpg, HTTP/1.1, 404, 1.098642
168.234.75.2, 2017-03-11 20:04:47, GET, /cpfecys/static/images/home-images/dep-y.png, HTTP/1.1, 404, 0.000451
168.234.75.2, 2017-03-11 20:04:48, GET, /default/download/magazine.image_file.a14643879ec4ac07.592074756920706f72717565206e6f207465206861732063616d626961646f20646520636172726572612e706e67.png, HTTP/1.1, 404, 1.522656
168.234.75.2, 2017-03-11 20:04:49, GET, /default/download/magazine.image_file.ba1908d74088daaa.496e64757374726961204469676974616c2e706e67.png, HTTP/1.1, 404, 2.246784
168.234.75.2, 2017-03-11 20:04:50, GET, /default/download/magazine.image_file.a8fc1b46edfcdd0b.496e67656e696572696120436f6d6f20756e206d6564696f2e706e67.png, HTTP/1.1, 404, 3.101680
168.234.75.2, 2017-03-11 20:04:51, GET, /cpfecys/admin/GetPeriodosSemestre, HTTP/1.1, 200, 3.929556
168.234.75.2, 2017-03-11 20:04:52, GET, /default/download/magazine.image_file.906bc0cd22e8bbb4.53696e67756c617269646164207465636e6f6c6f676963612e706e67.png, HTTP/1.1, 404, 4.898409
168.234.75.2, 2017-03-11 20:04:53, GET, /cpfecys/admin/GetPeriodosVariables, HTTP/1.1, 200, 2.070984
168.234.75.2, 2017-03-11 20:04:56, GET, /activity_control/courses_list, HTTP/1.1, 200, 2.038953
168.234.75.2, 2017-03-11 20:04:58, GET, /cpfecys/admin/GetPeriodosSemestre, HTTP/1.1, 200, 1.100870
168.234.75.2, 2017-03-11 20:04:59, GET, /cpfecys/admin/GetPeriodosVariables, HTTP/1.1, 200, 0.960754
168.234.75.2, 2017-03-11 20:05:23, GET, /activity_control/courses_list, HTTP/1.1, 200, 1.904064
168.234.75.2, 2017-03-11 20:05:24, GET, /cpfecys/static/intro_js/introjs.css, HTTP/1.1, 304, 0.000967
168.234.75.2, 2017-03-11 20:05:24, GET, /cpfecys/static/css/calendar.css, HTTP/1.1, 304, 0.000812
168.234.75.2, 2017-03-11 20:05:24, GET, /cpfecys/static/intro_js/intro.js, HTTP/1.1, 304, 0.000409
168.234.75.2, 2017-03-11 20:05:24, GET, /cpfecys/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000747
168.234.75.2, 2017-03-11 20:05:24, GET, /cpfecys/static/css/ja-sosdmenu.css, HTTP/1.1, 304, 0.000571
168.234.75.2, 2017-03-11 20:05:24, GET, /cpfecys/static/css/template.css, HTTP/1.1, 304, 0.000630
168.234.75.2, 2017-03-11 20:05:24, GET, /cpfecys/static/scripts/general.js, HTTP/1.1, 304, 0.000853
168.234.75.2, 2017-03-11 20:05:24, GET, /cpfecys/static/css/home-style.css, HTTP/1.1, 304, 0.000575
168.234.75.2, 2017-03-11 20:05:24, GET, /cpfecys/static/css/bootstrap-toggle.css, HTTP/1.1, 304, 0.000650
168.234.75.2, 2017-03-11 20:05:24, GET, /cpfecys/static/js/d3/d3.min.js, HTTP/1.1, 304, 0.000764
168.234.75.2, 2017-03-11 20:05:24, GET, /cpfecys/static/js/jquery.js, HTTP/1.1, 304, 0.000876
168.234.75.2, 2017-03-11 20:05:24, GET, /cpfecys/static/js/d3/d3.js, HTTP/1.1, 304, 0.000604
168.234.75.2, 2017-03-11 20:05:24, GET, /cpfecys/static/js/RadarChart.js, HTTP/1.1, 304, 0.000414
168.234.75.2, 2017-03-11 20:05:24, GET, /cpfecys/static/js/Pruebas360.js, HTTP/1.1, 304, 0.000379
168.234.75.2, 2017-03-11 20:05:25, GET, /cpfecys/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000594
168.234.75.2, 2017-03-11 20:05:25, GET, /cpfecys/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000657
168.234.75.2, 2017-03-11 20:05:25, GET, /cpfecys/static/js/bootstrap-toggle.min.js, HTTP/1.1, 304, 0.000617
168.234.75.2, 2017-03-11 20:05:25, GET, /cpfecys/static/js/analytics.min.js, HTTP/1.1, 304, 0.000483
168.234.75.2, 2017-03-11 20:05:25, GET, /cpfecys/static/js/jquery-ui.js, HTTP/1.1, 304, 0.000899
168.234.75.2, 2017-03-11 20:05:25, GET, /cpfecys/static/js/excelise.js, HTTP/1.1, 304, 0.000551
168.234.75.2, 2017-03-11 20:05:25, GET, /cpfecys/static/js/calendar.js, HTTP/1.1, 304, 0.000680
168.234.75.2, 2017-03-11 20:05:25, GET, /cpfecys/static/js/web2py.js, HTTP/1.1, 304, 0.000594
168.234.75.2, 2017-03-11 20:05:25, GET, /cpfecys/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000630
168.234.75.2, 2017-03-11 20:05:25, GET, /cpfecys/static/css/web2py.css, HTTP/1.1, 304, 0.000778
168.234.75.2, 2017-03-11 20:05:25, GET, /cpfecys/static/js/jquery.js, HTTP/1.1, 304, 0.000543
168.234.75.2, 2017-03-11 20:05:25, GET, /cpfecys/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000890
168.234.75.2, 2017-03-11 20:05:30, GET, /cpfecys/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000572
168.234.75.2, 2017-03-11 20:05:30, GET, /cpfecys/static/images/academic_control/seo47.png, HTTP/1.1, 304, 0.001226
168.234.75.2, 2017-03-11 20:05:30, GET, /cpfecys/static/images/academic_control/file96.png, HTTP/1.1, 304, 0.000464
168.234.75.2, 2017-03-11 20:05:30, GET, /cpfecys/static/images/academic_control/business175.png, HTTP/1.1, 304, 0.000481
168.234.75.2, 2017-03-11 20:05:30, GET, /cpfecys/static/images/academic_control/teacher35.png, HTTP/1.1, 304, 0.000496
168.234.75.2, 2017-03-11 20:05:30, GET, /cpfecys/static/images/academic_control/research.png, HTTP/1.1, 304, 0.000385
168.234.75.2, 2017-03-11 20:05:30, GET, /cpfecys/static/images/academic_control/ascending24.png, HTTP/1.1, 304, 0.000386
168.234.75.2, 2017-03-11 20:05:30, GET, /cpfecys/static/images/academic_control/verification5.png, HTTP/1.1, 304, 0.000388
168.234.75.2, 2017-03-11 20:05:30, GET, /cpfecys/static/js/jquery-ui.js, HTTP/1.1, 304, 0.000527
168.234.75.2, 2017-03-11 20:05:30, GET, /cpfecys/static/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000843
168.234.75.2, 2017-03-11 20:05:30, GET, /cpfecys/static/images/home-images/LogoTricentenaria.png, HTTP/1.1, 304, 0.000967
168.234.75.2, 2017-03-11 20:05:30, GET, /cpfecys/static/images/home-images/LOGO-FIUSAC.png, HTTP/1.1, 304, 0.000568
168.234.75.2, 2017-03-11 20:05:30, GET, /cpfecys/static/images/academic_control/users6.png, HTTP/1.1, 304, 0.000751
168.234.75.2, 2017-03-11 20:05:30, GET, /cpfecys/static/images/academic_control/send4.png, HTTP/1.1, 304, 0.000425
168.234.75.2, 2017-03-11 20:05:30, GET, /cpfecys/static/images/academic_control/time3.png, HTTP/1.1, 304, 0.000410
168.234.75.2, 2017-03-11 20:05:31, GET, /cpfecys/admin/GetPeriodosSemestre, HTTP/1.1, 200, 1.015261
168.234.75.2, 2017-03-11 20:05:32, GET, /cpfecys/admin/GetPeriodosVariables, HTTP/1.1, 200, 1.024281
168.234.75.2, 2017-03-11 20:05:35, GET, /cpfecys/static/images/academic_control/envelope33.png, HTTP/1.1, 304, 0.000662
168.234.75.2, 2017-03-11 20:05:35, GET, /cpfecys/static/images/glyphicons-halflings.png, HTTP/1.1, 304, 0.000665
168.234.75.2, 2017-03-11 20:05:39, GET, /user/logout, HTTP/1.1, 303, 0.953017
168.234.75.2, 2017-03-11 20:05:40, GET, /user/logout, HTTP/1.1, 303, 1.830197
168.234.75.2, 2017-03-11 20:05:40, GET, /, HTTP/1.1, 200, 0.341462
168.234.75.2, 2017-03-11 20:05:41, GET, /cpfecys/static/images/home-images/dep-y.png, HTTP/1.1, 404, 0.000447
